[[0 0]
 [0 0]]
[0 0]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
[ 1.05072408  1.5303946 ]
